date,transect_id,NDVI
2017-03-05,T5,-0.2838909327983856
2017-03-05,T6,-0.2838909327983856
2017-03-05,T7,-0.2838909327983856
2017-03-05,T8,-0.2838909327983856
2017-03-05,T9,-0.2838909327983856
2017-03-05,T10,-0.2838909327983856
2017-03-05,T11,-0.2838909327983856
2017-03-05,T12,-0.2838909327983856
2017-03-05,T13,-0.2838909327983856
2017-03-05,T14,-0.2838909327983856
2017-03-05,T15,-0.2838909327983856
2017-03-05,T16,-0.2838909327983856
2017-03-05,T17,-0.2838909327983856
2017-03-05,T18,-0.2838909327983856
2017-03-05,T19,-0.2838909327983856
2017-04-06,T1,-0.2703598439693451
2017-04-06,T2,-0.2703598439693451
2017-04-06,T3,-0.2703598439693451
2017-04-06,T4,-0.2703598439693451
2017-04-06,T5,-0.2703598439693451
2017-04-06,T6,-0.2703598439693451
2017-04-06,T7,-0.2703598439693451
2017-04-06,T8,-0.2703598439693451
2017-04-06,T9,-0.2703598439693451
2017-04-06,T10,-0.2703598439693451
2017-04-06,T11,-0.2703598439693451
2017-04-06,T12,-0.2703598439693451
2017-04-06,T13,-0.2703598439693451
2017-04-06,T14,-0.2703598439693451
2017-04-06,T15,-0.2703598439693451
2017-04-06,T16,-0.2703598439693451
2017-04-06,T17,-0.2703598439693451
2017-04-06,T18,-0.2703598439693451
2017-04-06,T19,-0.2703598439693451
2017-04-07,T1,
2017-04-07,T2,
2017-04-07,T3,
2017-04-07,T4,
2017-04-07,T5,
2017-04-07,T6,
2017-04-07,T7,
2017-04-07,T8,
2017-04-07,T9,
2017-04-07,T10,
2017-04-07,T11,
2017-04-07,T12,
2017-04-07,T13,
2017-04-07,T14,
2017-04-07,T15,
2017-04-07,T16,
2017-04-07,T17,
2017-04-07,T18,
2017-04-07,T19,
2017-04-17,T1,
2017-04-17,T2,
2017-04-17,T3,
2017-04-17,T4,
2017-04-17,T5,
2017-04-17,T6,
2017-04-17,T7,
2017-04-17,T8,
2017-04-17,T9,
2017-04-17,T10,
2017-04-17,T11,
2017-04-17,T12,
2017-04-17,T13,
2017-04-17,T14,
2017-04-17,T15,
2017-04-17,T16,
2017-04-17,T17,
2017-04-17,T18,
2017-04-17,T19,
2017-05-08,T1,-0.45061764121055603
2017-05-08,T2,-0.45061764121055603
2017-05-08,T3,-0.45061764121055603
2017-05-08,T4,-0.45061764121055603
2017-05-08,T5,-0.45061764121055603
2017-05-08,T6,-0.45061764121055603
2017-05-08,T7,-0.45061764121055603
2017-05-08,T8,-0.45061764121055603
2017-05-08,T9,-0.45061764121055603
2017-05-08,T10,-0.45061764121055603
2017-05-08,T11,-0.45061764121055603
2017-05-08,T12,-0.45061764121055603
2017-05-08,T13,-0.45061764121055603
2017-05-08,T14,-0.45061764121055603
2017-05-08,T15,-0.45061764121055603
2017-05-08,T16,-0.45061764121055603
2017-05-08,T17,-0.45061764121055603
2017-05-08,T18,-0.45061764121055603
2017-05-08,T19,-0.45061764121055603
2017-05-27,T1,
2017-05-27,T2,
2017-05-27,T3,
2017-05-27,T4,
2017-05-27,T5,
2017-05-27,T6,
2017-05-27,T7,
2017-05-27,T8,
2017-05-27,T9,
2017-05-27,T10,
2017-05-27,T11,
2017-05-27,T12,
2017-05-27,T13,
2017-05-27,T14,
2017-05-27,T15,
2017-05-27,T16,
2017-05-27,T17,
2017-05-27,T18,
2017-05-27,T19,
2017-06-09,T1,-0.31924816966056824
2017-06-09,T2,-0.31924816966056824
2017-06-09,T3,-0.31924816966056824
2017-06-09,T4,-0.31924816966056824
2017-06-09,T5,-0.31924816966056824
2017-06-09,T6,-0.31924816966056824
2017-06-09,T7,-0.31924816966056824
2017-06-09,T8,-0.31924816966056824
2017-06-09,T9,-0.31924816966056824
2017-06-09,T10,-0.31924816966056824
2017-06-09,T11,-0.31924816966056824
2017-06-09,T12,-0.31924816966056824
2017-06-09,T13,-0.31924816966056824
2017-06-09,T14,-0.31924816966056824
2017-06-09,T15,-0.31924816966056824
2017-06-09,T16,-0.31924816966056824
2017-06-09,T17,-0.31924816966056824
2017-06-09,T18,-0.31924816966056824
2017-06-09,T19,-0.31924816966056824
