dates,transect_id,longitude,latitude
2021-10-13 05:37:47+00:00,T19,266710.4362994208,580440.2919977002
2021-10-23 05:37:47+00:00,T1,266780.0077869517,580479.328449171
2021-10-23 05:37:47+00:00,T2,266703.8417737674,580573.4724370276
2021-10-23 05:37:47+00:00,T3,266624.538991196,580601.5976707522
2021-10-23 05:37:47+00:00,T4,266575.67345310916,580607.3957933127
2021-10-23 05:37:47+00:00,T5,266544.159756946,580607.0119867332
2021-10-23 05:37:47+00:00,T6,266518.26449216076,580606.0375489693
2021-10-23 05:37:47+00:00,T7,266492.12522458594,580605.748331489
2021-10-23 05:37:47+00:00,T8,266455.93884707295,580604.5351882791
2021-10-23 05:37:47+00:00,T9,266396.2208021254,580598.6400380136
2021-10-23 05:37:47+00:00,T10,266308.84882510285,580557.9128081172
2021-10-23 05:37:47+00:00,T11,266331.91989311983,580493.953883596
2021-10-23 05:37:47+00:00,T12,266404.2350625072,580467.7637922458
2021-10-23 05:37:47+00:00,T13,266461.21841697214,580462.295448161
2021-10-23 05:37:47+00:00,T14,266493.22281236254,580460.6313979804
2021-10-23 05:37:47+00:00,T15,266519.4631735976,580457.2625115731
2021-10-23 05:37:47+00:00,T16,266544.4326256481,580453.9098730398
2021-10-23 05:37:47+00:00,T17,266579.1679406439,580448.8844591161
2021-10-23 05:37:47+00:00,T18,266632.50123800995,580444.2842427965
2021-10-23 05:37:47+00:00,T19,266712.8642209616,580436.9213847425
2021-11-12 05:37:43+00:00,T1,266784.84207116574,580475.1322865788
2021-11-12 05:37:43+00:00,T2,266699.5881495104,580563.5490152799
2021-11-12 05:37:43+00:00,T3,266623.2590524574,580592.5634574826
2021-11-12 05:37:43+00:00,T4,266576.0381965512,580595.1451217445
2021-11-12 05:37:43+00:00,T5,266544.79195990606,580593.5418191517
2021-11-12 05:37:43+00:00,T6,266518.77781419765,580591.4477613345
2021-11-12 05:37:43+00:00,T7,266492.5571824935,580590.7094290792
2021-11-12 05:37:43+00:00,T8,266456.5516103944,580589.6296090143
2021-11-12 05:37:43+00:00,T9,266398.83043102466,580584.599539481
2021-11-12 05:37:43+00:00,T10,266324.5182216369,580547.9556348935
2021-11-12 05:37:43+00:00,T11,266338.9649695028,580498.7905068283
2021-11-12 05:37:43+00:00,T12,266404.43780018686,580469.210310614
2021-11-12 05:37:43+00:00,T13,266461.2385963768,580462.6078402017
2021-11-12 05:37:43+00:00,T14,266493.28158264555,580462.1880299499
2021-11-12 05:37:43+00:00,T15,266519.704686582,580461.8636661996
2021-11-12 05:37:43+00:00,T16,266544.76209691825,580457.4654061951
2021-11-12 05:37:43+00:00,T17,266579.8157116205,580452.3616257381
2021-11-12 05:37:43+00:00,T18,266630.82651183225,580452.3725902365
2021-11-12 05:37:43+00:00,T19,266712.9822089031,580436.7575855101
2021-11-17 05:37:40+00:00,T1,266782.70659865096,580476.9858784418
2021-11-17 05:37:40+00:00,T2,266700.15760913043,580564.8775266001
2021-11-17 05:37:40+00:00,T3,266623.89174351736,580597.0291915031
2021-11-17 05:37:40+00:00,T4,266575.8740147341,580600.65951155
2021-11-17 05:37:40+00:00,T5,266544.4541151846,580600.7401799673
2021-11-17 05:37:40+00:00,T6,266518.4956134033,580599.4685540602
2021-11-17 05:37:40+00:00,T7,266492.3570217705,580597.6781580391
2021-11-17 05:37:40+00:00,T8,266456.25808294676,580596.7697175745
2021-11-17 05:37:40+00:00,T9,266397.4207818395,580592.1838275461
2021-11-17 05:37:40+00:00,T10,266316.9050861059,580552.7934286842
2021-11-17 05:37:40+00:00,T11,266334.7027227088,580495.8643665361
2021-11-17 05:37:40+00:00,T12,266404.0341117166,580466.3300231989
2021-11-17 05:37:40+00:00,T13,266461.094226653,580460.3728905868
2021-11-17 05:37:40+00:00,T14,266493.18428025924,580459.6108089901
2021-11-17 05:37:40+00:00,T15,266519.551580181,580458.9467786165
2021-11-17 05:37:40+00:00,T16,266544.40556365496,580453.6178299313
2021-11-17 05:37:40+00:00,T17,266579.1127568545,580448.5882383259
2021-11-17 05:37:40+00:00,T18,266631.1151166634,580450.9787288529
2021-11-17 05:37:40+00:00,T19,266712.33568444254,580437.6551366409
2021-11-22 05:37:42+00:00,T1,266783.47081027774,580476.3225421342
2021-11-22 05:37:42+00:00,T2,266703.87573676015,580573.5516704251
2021-11-22 05:37:42+00:00,T3,266624.424025342,580600.786205318
2021-11-22 05:37:42+00:00,T4,266575.78882027615,580603.5209456545
2021-11-22 05:37:42+00:00,T5,266544.3769864464,580602.383539924
2021-11-22 05:37:42+00:00,T6,266518.43617474986,580601.1579366875
2021-11-22 05:37:42+00:00,T7,266492.3104064877,580599.3011001743
2021-11-22 05:37:42+00:00,T8,266456.1675255518,580598.9725426807
2021-11-22 05:37:42+00:00,T9,266397.16111092333,580593.5809262365
